DATA;NEURKETA_KOPURUA;MIN_GORDINA;MAX_GORDINA;TARTE_GORDINA;SUSMAGARRI_KOPURUA;SUSMAGARRI_PORTZENTAIA;EGUNAREN_ARRAZOIAK
2014-08-10;144;-97.4;-6.6;90.8;144;100.0;eguneko tartea 90.8 °C | neurketen %100.0 susmagarriak
2014-08-18;144;-97.4;-97.0;0.4;144;100.0;neurketen %100.0 susmagarriak
2014-08-19;144;-97.3;-96.9;0.4;144;100.0;neurketen %100.0 susmagarriak
2014-08-11;144;-97.3;-97.0;0.3;144;100.0;neurketen %100.0 susmagarriak
2014-08-12;144;-97.3;-97.0;0.3;144;100.0;neurketen %100.0 susmagarriak
2014-08-16;144;-97.4;-97.1;0.3;144;100.0;neurketen %100.0 susmagarriak
2014-08-17;144;-97.4;-97.1;0.3;144;100.0;neurketen %100.0 susmagarriak
2014-08-20;144;-97.4;-97.1;0.3;144;100.0;neurketen %100.0 susmagarriak
2014-08-24;144;-97.3;-97.0;0.3;144;100.0;neurketen %100.0 susmagarriak
2014-08-14;144;-97.3;-97.1;0.2;144;100.0;neurketen %100.0 susmagarriak
2014-08-21;144;-97.3;-97.1;0.2;144;100.0;neurketen %100.0 susmagarriak
2014-08-22;144;-97.3;-97.1;0.2;144;100.0;neurketen %100.0 susmagarriak
2014-08-23;144;-97.3;-97.1;0.2;144;100.0;neurketen %100.0 susmagarriak
2014-08-13;144;-97.3;-97.2;0.1;144;100.0;neurketen %100.0 susmagarriak
2014-08-15;144;-97.3;-97.2;0.1;144;100.0;neurketen %100.0 susmagarriak
2014-08-09;144;-97.3;1.63;98.93;143;99.31;eguneko tartea 98.9 °C | neurketen %99.3 susmagarriak
2014-08-07;144;-33.56;29.11;62.67;113;78.47;eguneko tartea 62.7 °C | neurketen %78.5 susmagarriak
2014-08-08;144;-97.4;21.15;118.55;110;76.39;eguneko tartea 118.6 °C | neurketen %76.4 susmagarriak
2014-08-25;144;-799.9;32.25;832.15;67;46.53;eguneko tartea 832.1 °C | neurketen %46.5 susmagarriak
2016-05-10;144;-40.55;21.97;62.52;62;43.06;eguneko tartea 62.5 °C | neurketen %43.1 susmagarriak
2014-08-06;144;-33.24;25.79;59.03;61;42.36;eguneko tartea 59.0 °C | neurketen %42.4 susmagarriak
2016-05-09;144;-43.01;24.52;67.53;37;25.69;eguneko tartea 67.5 °C | neurketen %25.7 susmagarriak
2014-08-02;144;-36.13;28.17;64.3;35;24.31;eguneko tartea 64.3 °C | neurketen %24.3 susmagarriak
2016-05-08;144;-42.61;20.22;62.83;28;19.44;eguneko tartea 62.8 °C | neurketen %19.4 susmagarriak
2014-08-01;144;-30.54;25.97;56.51;25;17.36;eguneko tartea 56.5 °C | neurketen %17.4 susmagarriak
2015-01-11;144;4.44;52.26;47.82;23;15.97;eguneko tartea 47.8 °C | neurketen %16.0 susmagarriak
2013-02-28;144;-799.9;10.62;810.52;17;11.81;eguneko tartea 810.5 °C | neurketen %11.8 susmagarriak
2014-08-05;144;-25.79;26.71;52.5;15;10.42;eguneko tartea 52.5 °C | neurketen %10.4 susmagarriak
2016-05-07;144;-40.82;23.39;64.21;13;9.03;eguneko tartea 64.2 °C | neurketen %9.0 susmagarriak
2015-09-29;144;-799.9;22.46;822.36;4;2.78;eguneko tartea 822.4 °C
2016-05-05;144;-6.69;31.16;37.85;4;2.78;eguneko tartea 37.9 °C
2014-09-15;144;16.51;47.39;30.88;3;2.08;
2017-03-11;144;-0.86;27.19;28.05;3;2.08;
2017-03-02;144;-1.66;21.43;23.09;3;2.08;
2017-03-01;144;-4.37;18.01;22.38;3;2.08;
2015-09-10;144;-799.9;22.58;822.48;2;1.39;eguneko tartea 822.5 °C
2012-11-26;144;7.57;799.9;792.33;2;1.39;eguneko tartea 792.3 °C
2014-09-23;144;-9.29;21.65;30.94;2;1.39;
2018-06-11;144;2.15;20.81;18.66;2;1.39;
2014-09-20;144;17.27;45.59;28.32;1;0.69;
2014-09-09;144;20.72;45.22;24.5;1;0.69;
2017-02-17;144;-2.27;19.67;21.94;1;0.69;
2014-07-27;144;13.68;29.07;15.39;1;0.69;
2016-12-13;144;-0.01;15.32;15.33;1;0.69;
2020-09-16;87;15.33;32.42;17.09;0;0.0;neurketak gutxiegi
2020-09-21;92;16.34;23.84;7.5;0;0.0;neurketak gutxiegi
2012-08-20;63;22.1;29.54;7.44;0;0.0;neurketak gutxiegi
2017-08-27;59;16.9;24.3;7.4;0;0.0;neurketak gutxiegi
2015-01-15;58;11.35;16.13;4.78;0;0.0;neurketak gutxiegi
2012-08-18;36;17.78;20.48;2.7;0;0.0;neurketak gutxiegi
2015-01-12;51;1.9;4.56;2.66;0;0.0;neurketak gutxiegi
